tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-life-stage,animal-mass,animal-sex,animal-taxon-detail,attachment-type,deploy-off-person,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-comments,tag-manufacturer-name,tag-model,tag-processing-type,tag-production-date,tag-readout-method
3163,Gnasher,Chelonoidis porteri,2013-07-17 15:00:00.000,2019-10-25 00:00:00.000,domed: carapace length 45 cm,,,,juvenile,, ,,glue,Freddy,,,,,3163-Gnasher,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3143,Graciella,Chelonoidis porteri,2013-07-19 00:00:00.000,,domed: carapace length 83.5 cm,,,,adult,,f,,glue,,,,,,3143-Graciella,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3153,Susan,Chelonoidis porteri,2013-07-25 00:00:00.000,,domed: carapace length 94.5 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,3153-Susan,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3155,Tanya,Chelonoidis porteri,2013-07-25 00:00:00.000,,domed: carapace length 87 cm,,,,adult,,f,,glue,,,,,,3155-Tanya,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3162,Kiana,Chelonoidis porteri,2013-07-25 20:00:00.000,2013-12-04 12:00:00.000,domed: carapace length 50 cm,,,,adult,, ,,glue,,,,,,3162-Kiana,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3142,Toots,Chelonoidis porteri,2013-07-31 00:00:00.000,,domed: carapace length 90.5 cm,,,,adult,,f,,glue,,,,,,3142-Toots,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3148,Sonia,Chelonoidis porteri,2013-07-31 00:00:00.000,2014-05-05 00:00:00.000,domed: carapace length 90 cm,,,,adult,,f,,glue,,,,tag fell off,fall-off,3148-Sonia,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3150,Andrea,Chelonoidis porteri,2013-07-31 00:00:00.000,,domed: carapace length 99.5 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,3150-Andrea,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3146,Cuthbert,Chelonoidis porteri,2013-08-13 00:00:00.000,,domed: carapace length 96 cm,,,,adult,,m,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,3146-Cuthbert,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3149,Freddy V,Chelonoidis porteri,2013-08-13 00:00:00.000,2013-11-23 00:00:00.000,domed: carapace length 120.5. cm,,,,adult,,m,,glue,,,,tag fell off,fall-off,3149-Freddy V,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3134,Smiffy,Chelonoidis porteri,2013-08-14 00:00:00.000,,domed: carapace length 52 cm,,,,adult,, ,,glue,,,,,,3134-Smiffy,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3135,Plug,Chelonoidis porteri,2013-08-14 00:00:00.000,,domed: carapace length 63 cm,,,,adult,, ,,glue,,,,,,3135-Plug,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3140,Spotty,Chelonoidis porteri,2013-08-14 00:00:00.000,,domed: carapace length 60 cm,,,,adult,, ,,glue,,,,,,3140-Spotty,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3137,Danny,Chelonoidis porteri,2013-08-16 00:00:00.000,,domed: carapace length 59 cm,,,,adult,, ,,glue,,,,,,3137-Danny,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3133,Erbert,Chelonoidis porteri,2013-08-16 00:00:00.000,2013-11-28 00:00:00.000,domed: carapace length 47 cm,,,,adult,, ,,glue,,,,tag was removed because it was coming loose,removal,3133-Erbert,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3139,Sidney,Chelonoidis porteri,2013-08-16 00:00:00.000,,domed: carapace length 66 cm,,,,adult,, ,,glue,,,,,,3139-Sidney,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3293,Jumbo_2,Chelonoidis donfaustoi,2013-11-26 19:00:00.000,,domed: carapace length 117 cm,,,,adult,,m,,glue,,,,,,3293-Jumbo_2,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),,e-obs GmbH,custom GPS logger,,,other-wireless
3157,Mariposa,Chelonoidis porteri,2013-12-08 20:00:00.000,,domed: carapace length 101.2 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,3157-Mariposa,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3292,Mandy,Chelonoidis porteri,2013-12-14 18:00:00.000,,domed:carapace length 105 cm,,,,adult,,f,,glue,,,deployed with mola mola club; 2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,3292-Mandy,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3151,Hamish,Chelonoidis hoodensis,2013-12-18 22:00:00.000,,saddleback: carapace length 83.1 cm,,,,adult,,m,,glue,,,,,,3151-Hamish,hourly from 6:00-19:00 local time,none,Isla Espanola,,e-obs GmbH,custom GPS logger,,,other-wireless
3152,Thane,Chelonoidis hoodensis,2013-12-18 23:00:00.000,,saddleback: carapace length 69 cm,,,,adult,,f,,glue,,,,,,3152-Thane,hourly from 6:00-19:00 local time,none,Isla Espanola,,e-obs GmbH,custom GPS logger,,,other-wireless
3290,Bill,Chelonoidis hoodensis,2013-12-19 14:30:00.000,,saddleback: carapace length 95.7 cm,,,,adult,,m,,glue,,,,,,3290-Bill,hourly from 6:00-19:00 local time,none,Isla Espanola,,e-obs GmbH,custom GPS logger,,,other-wireless
